GeneID,AverageFPKM
Os01g0559100,2.44517
Os01g0501800,1276.2
Os01g0559550,1.06744
Os01g0559500,2.91045
Os01g0559750,37.9065
Os01g0559900,11.9152
Os01g0560000,3.4271
Os01g0560200,5.1054
Os01g0559600,36.5802
Os01g0564400,1.26642
Os01g0565900,1.3177
Os01g0565600,9.1469
Os01g0566701,2.66122
Os01g0566800,1.9654
Os01g0563000,11.7709
Os01g0566900,18.3961
Os01g0570700,9.10693
Os01g0570800,3.74348
Os01g0571000,1.8416
Os01g0571166,1.25992
Os01g0571200,2.02528
Os01g0571100,7.6955
Os01g0571700,2.37406
Os01g0574400,1.87947
Os01g0570500,25.0897
Os01g0574800,2.5523
Os01g0574500,12.029
Os01g0574600,2.50843
Os01g0578000,1.24944
Os01g0575500,3.17607
Os01g0578700,1.39469
Os01g0579600,2.85018
Os01g0579900,2.38017
Os01g0580000,3.33815
Os01g0580800,1.43179
Os01g0575000,12.3493
Os01g0582400,3.28443
Os01g0582600,1.95089
Os01g0581300,19.4838
Os01g0584800,1.20842
Os01g0585100,2.30968
Os01g0583100,19.4805
Os01g0585600,5.8495
Os01g0586600,1.60886
Os01g0585700,11.2537
Os01g0585300,150.452
Os01g0588200,1.62881
Os01g0588500,1.29753
Os01g0587000,14.3797
Os01g0588700,4.07587
Os01g0588800,2.20216
Os01g0589100,1.63257
Os01g0589000,5.41868
Os01g0589300,5.72775
Os01g0589500,14.7147
Os01g0589800,81.7442
Os01g0590200,2.53139
Os01g0588900,90.74
Os01g0590900,3.5574
Os01g0593000,2.59363
Os01g0593200,1.1157
Os01g0591000,8.9227
Os01g0591300,5.58
Os01g0593600,2.28742
ENSRNA049471602,2.2947
Os01g0595100,2.87455
Os01g0595400,3.36167
Os01g0599550,3.8419
Os01g0600000,6.87155
Os01g0600200,3.52068
Os01g0600300,2.91058
Os01g0600400,1.35689
Os01g0602400,3.38855
Os01g0603000,1.83433
Os01g0602800,4.11073
Os01g0603500,1.77555
Os01g0603800,1.07373
Os01g0603300,8.98438
Os01g0604700,3.0389
Os01g0605650,1.13763
Os01g0605700,2.84865
Os01g0606400,2.25043
Os01g0607800,2.69272
Os01g0609300,1.17674
Os01g0610100,8.9751
Os01g0610400,1.29292
Os01g0610300,3.79007
Os01g0610500,2.47222
Os01g0607400,10.4836
Os01g0610600,2.05047
Os01g0610700,2.28942
Os01g0611100,2.68974
Os01g0611000,5.95
Os01g0612000,2.17378
Os01g0612500,1.34021
Os01g0612200,6.82998
Os01g0612800,1.22919
Os01g0612900,3.29745
Os01g0612600,7.9671
Os01g0613300,1.81476
Os01g0614500,1.6094
Os01g0613900,3.4364
Os01g0614700,3.0167
Os01g0614900,3.41708
Os01g0615300,2.69293
Os01g0616500,1.414
Os01g0616100,6.31212
Os01g0616400,2.42431
Os01g0616900,3.76112
Os01g0617800,1.10169
Os01g0617500,6.5488
Os01g0618100,3.02145
Os01g0618200,2.07146
Os01g0618400,1.82635
Os01g0618500,2.43745
Os01g0617900,10.0882
Os01g0619800,3.09333
Os01g0619000,3.4022
Os01g0620100,1.21445
Os01g0618800,54.3978
Os01g0620301,1.54145
Os01g0619900,13.2438
Os01g0621700,3.49147
Os01g0621300,4.3297
Os01g0622300,1.55008
Os01g0622600,3.2683
Os01g0621900,15.2805
Os01g0622700,9.82132
Os01g0623500,6.758
Os01g0624000,1.90758
Os01g0625200,2.70716
Os01g0626200,4.41753
Os01g0626300,1.2363
Os01g0626350,2.78025
Os01g0626500,1.45514
Os01g0624500,20.9075
Os01g0626900,6.32892
Os01g0627400,6.53225
Os01g0627933,2.07606
Os01g0628700,2.60476
Os01g0627500,17.8602
Os01g0629750,2.40868
Os01g0629400,24.0982
Os01g0631100,1.41935
Os01g0631200,2.57696
Os01g0631700,1.18149
Os01g0632700,1.26026
Os01g0629900,5.92917
Os01g0633100,2.8369
Os01g0633000,59.3357
Os01g0633200,6.1656
Os01g0635200,3.9878
Os01g0635550,3.43487
Os01g0636600,3.39873
Os01g0636700,2.9417
Os01g0639200,1.2143
Os01g0639100,4.33545
Os01g0637600,9.19117
Os01g0600900,2053.85
Os01g0640700,2.96123
Os01g0640800,1.82563
Os01g0641100,1.74957
Os01g0641000,2.74433
Os01g0641700,6.14733
Os01g0642000,2.4149
Os01g0642100,2.92437
Os01g0644600,1.0132
Os01g0642200,217.886
Os01g0646800,1.38037
Os01g0646700,4.37413
Os01g0647000,2.55834
Os01g0647100,2.17608
Os01g0645200,22.019
Os01g0647850,1.20593
Os01g0648500,1.70629
Os01g0647200,50.3765
Os01g0649200,4.9266
Os01g0650100,1.33283
Os01g0649900,2.24423
Os01g0649100,8.79295
Os01g0650700,2.65945
Os01g0650800,1.04303
Os01g0650200,2.7788
Os01g0652600,4.3055
Os01g0653700,1.28619
Os01g0654100,1.54661
Os01g0653800,2.86897
Os01g0654200,2.41746
Os01g0654300,4.32683
Os01g0654500,9.70862
Os01g0655300,3.8701
Os01g0655400,4.55805
Os01g0655500,8.6417
Os01g0656600,1.94713
Os01g0655800,8.97532
Os01g0658500,6.67882
Os01g0658900,2.26098
Os01g0658400,106.025
Os01g0660200,1.97016
Os01g0660300,1.57247
Os01g0660900,2.34225
Os01g0660550,1.43345
Os01g0661601,2.20258
Os01g0661500,4.33842
Os01g0659200,42.579
Os01g0662300,5.92743
Os01g0662700,3.48473
