"","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AverageFPKM"
"109","Os07g0431160",78.0030996081447,7.08149193654368,1.96064757735969,3.61181275937412,0.000304064082159738,0.0254194833369485,1.75
"110","Os07g0516300",375.604664419953,2.96913861157885,0.836375353198338,3.55000730261207,0.000385220465286306,0.0303692699201461,2.60072
"111","Os07g0523700",75.5419626187631,4.69845879673295,1.29941719525871,3.61582008755664,0.00029939826888311,0.0251426808696907,12.5837
"112","Os07g0528900",97.1387648772089,9.84182705308746,2.79456779590995,3.52177072515173,0.000428674715160111,0.0328750993332913,1.75
"113","Os07g0559700",15491.4730199139,5.0286491628233,1.3262319891003,3.79168139824066,0.000149630795656682,0.015427766314402,5.01388
"114","Os07g0560100",106.755708801436,9.97821709862543,2.88467388882927,3.45904510636904,0.000542094112862102,0.0399235104786022,1.75
"115","Os07g0561300",95.3974036284295,9.81581486122534,2.67091016794949,3.67508236668295,0.00023777269322102,0.0214518848050797,1.75
"116","Os07g0563400",479.8456234755,3.39255030408197,0.992856679218312,3.41695873643411,0.000633248769415058,0.0446861745687226,2.23808
"117","Os07g0564500",1455.82077698942,8.3043133112248,2.26926682404379,3.65946975615088,0.00025273766802306,0.022021400849014,1.78241
"118","Os07g0566150",410.278455794044,5.56133792797948,1.40977441708676,3.94484242342242,7.98524712933721e-05,0.00968615695904375,1.84967
"119","Os07g0582400",1230.09474000078,3.8704017644315,0.861243270038621,4.49397040194919,6.9907349139249e-06,0.00149127642836244,3.95752
"120","Os07g0629500",86.617174674281,21.4543131945979,5.64957143100915,3.79751162660591,0.000146155923365349,0.0151536747583102,1.75
"121","Os07g0661400",2246.46946425494,3.40738746450238,0.842504442229931,4.0443554878877,5.24672588937597e-05,0.00715985189565652,5.2205
"122","Os07g0680600",3079.52854536276,5.18383804058966,1.25282950555836,4.13770430660421,3.5079804594878e-05,0.00520836874781072,2.45974
"123","Os07g0685600",173.927032674017,8.23865685322089,2.19755819528432,3.74900508705525,0.000177537484747522,0.0170721149193226,1.75282
"124","Os07g0686600",321.374464301328,11.5687011871254,2.81778172100582,4.10560587460831,4.03256530518632e-05,0.00575695226915022,1.75
"125","Os08g0112300",47.5630195919835,20.6274819694465,5.65005248714318,3.65084784900401,0.000261376052479152,0.0224577692498175,2
"126","Os08g0143600",58.8279452848217,20.9235263540802,5.64984819821188,3.70337850151484,0.000212747095934454,0.0195464027398393,2
"127","Os08g0167249",47.5630195919835,20.6274819694465,5.65005248714318,3.65084784900401,0.000261376052479152,0.0224577692498175,2
"128","Os08g0320200",72.6867479797751,9.42307737181391,2.72642573693275,3.45620173847645,0.000547845131412603,0.0401786557321671,2
"129","Os08g0360300",180.799107572422,6.28966300394605,1.7696962611073,3.55409181912981,0.000379286769074151,0.03008197926174,2.02476
"130","Os08g0374600",141.279602809508,6.348778670778,1.63779445224821,3.87641969482984,0.000106004774248568,0.0118514614775854,2
"131","Os08g0404900",191.816651380828,22.5633915529421,5.6492502323636,3.99405064829316,6.49539790355003e-05,0.00842993634209685,2
"132","Os08g0412800",418.788162099712,23.6473134325144,5.6491068781608,4.18602691408333,2.83879702599637e-05,0.00442733058869468,2
"133","Os08g0434632",297.339391455477,-3.835271198353,0.840066112837236,-4.56543971926182,4.98448417797511e-06,0.001156338023238,6.0105
"134","Os08g0474000",51.0261316373085,8.9152313507468,2.39272109543224,3.72598016867331,0.00019455770123355,0.0182363453393608,2
"135","Os08g0508800",899.78495128173,6.51895673879054,1.6681878337146,3.90780738657865,9.31375085153227e-05,0.0108033688783492,2.04702
"136","Os09g0324400",306.656310527262,23.2170593882446,5.64915118304432,4.10983148369788,3.95947958787778e-05,0.00569643268770727,2.25
"137","Os09g0341500",82.6855579788527,9.60955687374869,2.80112355672432,3.43060799680906,0.000602230194328845,0.0429876545251886,2.25
"138","Os09g0341600",149.750099718959,10.467064570018,2.71054932896124,3.8616026862825,0.000112645648759379,0.0122975917372077,2.25
"139","Os09g0412300",514.838539481029,4.78907589895204,0.872234987089381,5.49057991233879,4.00616178693592e-08,2.18677519422776e-05,3.19232
"140","Os09g0441400",3988.58916039031,3.59929579501857,0.874361002292019,4.11648710953886,3.84690834616178e-05,0.00562163559026901,4.66252
"141","Os09g0457900",1756.14561641315,10.5761723802618,1.83626277764722,5.75961812710323,8.43044436910133e-09,7.11184622937053e-06,2.26807
"142","Os09g0471000",84.0675424904127,9.63381970263865,2.56076099397982,3.76209248941511,0.000168497710432543,0.0166094686452229,2.25
"143","Os09g0482800",1041.0044592859,8.01268116245063,1.44996352753958,5.52612600956054,3.27379037874123e-08,1.86699940499715e-05,2.36286
"144","Os09g0489200",352.882484308039,6.08396596319482,1.78985596535061,3.39913718252913,0.000675988013518063,0.0466381469995604,2.294
